section_code,section_label_en,division_code,division_label_en,group_code,group_label_en,embedding_description
A,"A AGRICULTURE, FORESTRY AND FISHING",03,03 Fishing and aquaculture,031,03.1 Fishing,"A AGRICULTURE, FORESTRY AND FISHING 03 Fishing and aquaculture 03.1 Fishing This group includes capture fishery, in other words, the harvesting, collecting and gathering activities directed at removing or collecting live wild aquatic organisms (predominantly fish, molluscs and crustaceans), including plants from the oceanic, coastal or inland waters for human consumption and other purposes by hand or more usually by various types of fishing gear (for example, nets, lines, stationary traps). Such activities can be conducted on the intertidal zones (for example, the collection of molluscs, such as mussels, oysters), coastal waters or offshore waters. These activities also include fishing in restocked water bodies."
R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,87,87 Residential care activities,871,87.1 Residential nursing care activities,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES 87 Residential care activities 87.1 Residential nursing care activities
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",74,"74 Other professional, scientific and technical activities",743,74.3 Translation and interpretation activities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 74 Other professional, scientific and technical activities 74.3 Translation and interpretation activities"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,81,81 Services to buildings and landscape activities,812,81.2 Cleaning activities,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 81 Services to buildings and landscape activities 81.2 Cleaning activities This group includes general, specialised and other cleaning activities. The difference between them is not based on the type of customers served, but on the type of cleaning.

This group includes the activities of general interior cleaning of all types of buildings, the exterior cleaning of buildings, specialised cleaning activities for buildings or other specialised cleaning activities, cleaning of industrial machinery, cleaning of the inside of road and sea tankers, disinfecting and extermination activities for buildings and industrial machinery, bottle cleaning, street sweeping, snow and ice removal."
A,"A AGRICULTURE, FORESTRY AND FISHING",01,"01 Crop and animal production, hunting and related service activities",012,01.2 Growing of perennial crops,"A AGRICULTURE, FORESTRY AND FISHING 01 Crop and animal production, hunting and related service activities 01.2 Growing of perennial crops This group includes the growing of perennial crops, in other words, plants that last for more than two growing seasons, either dying back after each season or growing continuously. Further included is the growing of these plants for the purpose of seed production."
A,"A AGRICULTURE, FORESTRY AND FISHING",01,"01 Crop and animal production, hunting and related service activities",013,01.3 Plant propagation,"A AGRICULTURE, FORESTRY AND FISHING 01 Crop and animal production, hunting and related service activities 01.3 Plant propagation"
A,"A AGRICULTURE, FORESTRY AND FISHING",01,"01 Crop and animal production, hunting and related service activities",011,01.1 Growing of non-perennial crops,"A AGRICULTURE, FORESTRY AND FISHING 01 Crop and animal production, hunting and related service activities 01.1 Growing of non-perennial crops This group includes the growing of non-perennial crops, in other words, plants that do not last for more than two growing seasons. Further included is the growing of these plants for the purpose of seed production."
C,C MANUFACTURING,11,11 Manufacture of beverages,110,11.0 Manufacture of beverages,C MANUFACTURING 11 Manufacture of beverages 11.0 Manufacture of beverages
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,82,"82 Office administrative, office support and other business support activities",823,82.3 Organisation of conventions and trade shows,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 82 Office administrative, office support and other business support activities 82.3 Organisation of conventions and trade shows"
H,H TRANSPORTATION AND STORAGE,49,49 Land transport and transport via pipelines,494,49.4 Freight transport by road and removal services,H TRANSPORTATION AND STORAGE 49 Land transport and transport via pipelines 49.4 Freight transport by road and removal services This group includes all land-based freight transport activities other than rail transport.
J,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",58,58 Publishing activities,581,"58.1 Publishing of books, newspapers and other publishing activities, except software publishing","J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES 58 Publishing activities 58.1 Publishing of books, newspapers and other publishing activities, except software publishing This group includes activities of publishing books, newspapers, magazines and other periodicals, directories, compilations, mailing lists and other works (for example, catalogues, photographs, calendars, greeting cards, postcards, forms, posters, reproductions of works of art). These works are characterised by the intellectual creativity required in their development and are usually protected by copyright. All the feasible forms of publishing (in print, digital, analogue, or any other form) are included."
F,F CONSTRUCTION,42,42 Civil engineering,429,42.9 Construction of other civil engineering projects,F CONSTRUCTION 42 Civil engineering 42.9 Construction of other civil engineering projects
A,"A AGRICULTURE, FORESTRY AND FISHING",01,"01 Crop and animal production, hunting and related service activities",015,01.5 Mixed farming,"A AGRICULTURE, FORESTRY AND FISHING 01 Crop and animal production, hunting and related service activities 01.5 Mixed farming"
S,"S ARTS, SPORTS AND RECREATION",91,"91 Libraries, archives, museums and other cultural activities",914,91.4 Botanical and zoological garden and nature reserve activities,"S ARTS, SPORTS AND RECREATION 91 Libraries, archives, museums and other cultural activities 91.4 Botanical and zoological garden and nature reserve activities"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,82,"82 Office administrative, office support and other business support activities",829,82.9 Business support service activities n.e.c.,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 82 Office administrative, office support and other business support activities 82.9 Business support service activities n.e.c. This group includes the activities of collection agencies, credit bureaux, business information agencies and all support activities not elsewhere classified. These activities are predominantly provided to businesses."
H,H TRANSPORTATION AND STORAGE,51,51 Air transport,511,51.1 Passenger air transport,H TRANSPORTATION AND STORAGE 51 Air transport 51.1 Passenger air transport
H,H TRANSPORTATION AND STORAGE,51,51 Air transport,512,51.2 Freight air transport and space transport,H TRANSPORTATION AND STORAGE 51 Air transport 51.2 Freight air transport and space transport
G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,462,46.2 Wholesale of agricultural raw materials and live animals,G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.2 Wholesale of agricultural raw materials and live animals
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,81,81 Services to buildings and landscape activities,811,81.1 Combined facilities support activities,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 81 Services to buildings and landscape activities 81.1 Combined facilities support activities
C,C MANUFACTURING,27,27 Manufacture of electrical equipment,279,27.9 Manufacture of other electrical equipment,C MANUFACTURING 27 Manufacture of electrical equipment 27.9 Manufacture of other electrical equipment
C,C MANUFACTURING,29,"29 Manufacture of motor vehicles, trailers and semi-trailers",293,29.3 Manufacture of motor vehicle parts and accessories,"C MANUFACTURING 29 Manufacture of motor vehicles, trailers and semi-trailers 29.3 Manufacture of motor vehicle parts and accessories This group includes the manufacture of motor vehicle parts and accessories of all materials."
F,F CONSTRUCTION,41,41 Construction of residential and non-residential buildings,410,41.0 Construction of residential and non-residential buildings,F CONSTRUCTION 41 Construction of residential and non-residential buildings 41.0 Construction of residential and non-residential buildings
I,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES,55,55 Accommodation,552,55.2 Holiday and other short-stay accommodation,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES 55 Accommodation 55.2 Holiday and other short-stay accommodation
C,C MANUFACTURING,16,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",162,"16.2 Manufacture of products of wood, cork, straw and plaiting materials","C MANUFACTURING 16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials 16.2 Manufacture of products of wood, cork, straw and plaiting materials This group includes the manufacture of products of wood, cork, straw or plaiting materials, including basic shapes as well as assembled products."
B,B MINING AND QUARRYING,06,06 Extraction of crude petroleum and natural gas,061,06.1 Extraction of crude petroleum,B MINING AND QUARRYING 06 Extraction of crude petroleum and natural gas 06.1 Extraction of crude petroleum
S,"S ARTS, SPORTS AND RECREATION",93,93 Sports activities and amusement and recreation activities,932,93.2 Amusement and recreation activities,"S ARTS, SPORTS AND RECREATION 93 Sports activities and amusement and recreation activities 93.2 Amusement and recreation activities This group includes a wide range of units that operate facilities or provide services to meet the varied recreational interests of their patrons. It includes the operation of a variety of attractions (for example, mechanical rides, water rides, games, shows, theme exhibits and picnic grounds)."
C,C MANUFACTURING,20,20 Manufacture of chemicals and chemical products,201,"20.1 Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","C MANUFACTURING 20 Manufacture of chemicals and chemical products 20.1 Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms This group includes the manufacture of basic chemical products, fertilisers and associated nitrogen compounds, as well as plastics and synthetic rubber in primary forms."
C,C MANUFACTURING,20,20 Manufacture of chemicals and chemical products,203,"20.3 Manufacture of paints, varnishes and similar coatings, printing ink and mastics","C MANUFACTURING 20 Manufacture of chemicals and chemical products 20.3 Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
D,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",35,"35 Electricity, gas, steam and air conditioning supply",352,"35.2 Manufacture of gas, and distribution of gaseous fuels through mains","D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY 35 Electricity, gas, steam and air conditioning supply 35.2 Manufacture of gas, and distribution of gaseous fuels through mains This group includes the manufacture of gas, the storage and the distribution of natural or synthetic gas to the user through a system of mains."
V,V ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,99,99 Activities of extraterritorial organisations and bodies,990,99.0 Activities of extraterritorial organisations and bodies,V ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES 99 Activities of extraterritorial organisations and bodies 99.0 Activities of extraterritorial organisations and bodies
E,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",38,"38 Waste collection, recovery and disposal activities",381,38.1 Waste collection,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES 38 Waste collection, recovery and disposal activities 38.1 Waste collection This group includes the collection of waste from households and businesses (for example, by means of bins, containers). It includes collection of non-hazardous and hazardous waste (for example, diapers, used batteries, demolition waste, waste oil from households and ships)."
S,"S ARTS, SPORTS AND RECREATION",91,"91 Libraries, archives, museums and other cultural activities",911,91.1 Library and archive activities,"S ARTS, SPORTS AND RECREATION 91 Libraries, archives, museums and other cultural activities 91.1 Library and archive activities This group includes activities related to the management, care, preservation and assessment of libraries and archives.

This group includes: 
- documentation and information activities of libraries and archives of all kinds, including reading, listening and viewing rooms, providing library and archive services to the general public or to a specific public (e.g. students, scientists, staff members)
- operation of public archives (at governmental, regional or local level) or of private archives (artists’, historians’, writers’ archives, etc.) 
- organisation of a library collection, whether specialised or not, cataloguing collections 
- lending and storage of books, maps, periodicals, films, records, tapes, works of art, archives, etc. 
- retrieval activities in order to comply with information requests, etc."
H,H TRANSPORTATION AND STORAGE,49,49 Land transport and transport via pipelines,492,49.2 Freight rail transport,H TRANSPORTATION AND STORAGE 49 Land transport and transport via pipelines 49.2 Freight rail transport
B,B MINING AND QUARRYING,07,07 Mining of metal ores,071,07.1 Mining of iron ores,B MINING AND QUARRYING 07 Mining of metal ores 07.1 Mining of iron ores
H,H TRANSPORTATION AND STORAGE,52,"52 Warehousing, storage and support activities for transportation",523,52.3 Intermediation service activities for transportation,"H TRANSPORTATION AND STORAGE 52 Warehousing, storage and support activities for transportation 52.3 Intermediation service activities for transportation This group includes the intermediation of freight and passenger transport."
I,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES,55,55 Accommodation,554,55.4 Intermediation service activities for accommodation,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES 55 Accommodation 55.4 Intermediation service activities for accommodation
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,77,77 Rental and leasing activities,775,77.5 Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 77 Rental and leasing activities 77.5 Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets
G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,469,46.9 Non-specialised wholesale trade,G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.9 Non-specialised wholesale trade
H,H TRANSPORTATION AND STORAGE,49,49 Land transport and transport via pipelines,495,49.5 Transport via pipeline,H TRANSPORTATION AND STORAGE 49 Land transport and transport via pipelines 49.5 Transport via pipeline
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,77,77 Rental and leasing activities,772,77.2 Rental and leasing of personal and household goods,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 77 Rental and leasing activities 77.2 Rental and leasing of personal and household goods This group includes the rental of personal and household goods as well as the rental of recreational and sports equipment and videodiscs. Activities generally include short-term rental of goods, although in some instances the goods may be leased for longer periods of time."
P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,84,84 Public administration and defence; compulsory social security,843,84.3 Compulsory social security activities,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY 84 Public administration and defence; compulsory social security 84.3 Compulsory social security activities
C,C MANUFACTURING,24,24 Manufacture of basic metals,244,24.4 Manufacture of basic precious and other non-ferrous metals,C MANUFACTURING 24 Manufacture of basic metals 24.4 Manufacture of basic precious and other non-ferrous metals
C,C MANUFACTURING,33,"33 Repair, maintenance and installation of machinery and equipment",332,33.2 Installation of industrial machinery and equipment,"C MANUFACTURING 33 Repair, maintenance and installation of machinery and equipment 33.2 Installation of industrial machinery and equipment"
I,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES,56,56 Food and beverage service activities,563,56.3 Beverage serving activities,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES 56 Food and beverage service activities 56.3 Beverage serving activities
C,C MANUFACTURING,25,"25 Manufacture of fabricated metal products, except machinery and equipment",259,25.9 Manufacture of other fabricated metal products,"C MANUFACTURING 25 Manufacture of fabricated metal products, except machinery and equipment 25.9 Manufacture of other fabricated metal products This group includes the manufacture of a variety of metal products (for example, cans, buckets; nails, bolts and nuts; metal household articles; metal fixtures; ships propellers and anchors; assembled railway track fixtures, etc.) for a variety of household and industrial uses."
J,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",60,"60 Programming, broadcasting, news agency and other content distribution activities",603,60.3 News agency and other content distribution activities,"J PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES 60 Programming, broadcasting, news agency and other content distribution activities 60.3 News agency and other content distribution activities This group includes the activities of news agencies and content distribution sites (for example, social network sites, wiki sites, online gaming / video game sites)."
M,M REAL ESTATE ACTIVITIES,68,68 Real estate activities,681,68.1 Real estate activities with own property and development of building projects,"M REAL ESTATE ACTIVITIES 68 Real estate activities 68.1 Real estate activities with own property and development of building projects This group includes the activities of buying, developing and selling of self-owned real estate."
A,"A AGRICULTURE, FORESTRY AND FISHING",03,03 Fishing and aquaculture,033,03.3 Support activities for fishing and aquaculture,"A AGRICULTURE, FORESTRY AND FISHING 03 Fishing and aquaculture 03.3 Support activities for fishing and aquaculture"
Q,Q EDUCATION,85,85 Education,851,85.1 Pre-primary education,Q EDUCATION 85 Education 85.1 Pre-primary education
R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,87,87 Residential care activities,879,87.9 Other residential care activities,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES 87 Residential care activities 87.9 Other residential care activities
C,C MANUFACTURING,17,17 Manufacture of paper and paper products,171,"17.1 Manufacture of pulp, paper and paperboard","C MANUFACTURING 17 Manufacture of paper and paper products 17.1 Manufacture of pulp, paper and paperboard"
A,"A AGRICULTURE, FORESTRY AND FISHING",02,02 Forestry and logging,022,02.2 Logging,"A AGRICULTURE, FORESTRY AND FISHING 02 Forestry and logging 02.2 Logging"
C,C MANUFACTURING,10,10 Manufacture of food products,106,"10.6 Manufacture of grain mill products, starches and starch products","C MANUFACTURING 10 Manufacture of food products 10.6 Manufacture of grain mill products, starches and starch products This group includes the milling of flour or meal from grains or vegetables, the cleaning, polishing and milling of rice, as well as the micronisation and thermal processing of flour and the manufacture of flour mixes or doughs from these products. Also included in this group are the wet milling of corn and vegetables and the manufacture of starch and starch products. This group also includes the manufacture of gluten-free mill products."
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,77,77 Rental and leasing activities,771,77.1 Rental and leasing of motor vehicles,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 77 Rental and leasing activities 77.1 Rental and leasing of motor vehicles
C,C MANUFACTURING,23,23 Manufacture of other non-metallic mineral products,237,"23.7 Cutting, shaping and finishing of stone","C MANUFACTURING 23 Manufacture of other non-metallic mineral products 23.7 Cutting, shaping and finishing of stone"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,78,78 Employment activities,781,78.1 Activities of employment placement agencies,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 78 Employment activities 78.1 Activities of employment placement agencies
F,F CONSTRUCTION,43,43 Specialised construction activities,435,43.5 Specialised construction activities in civil engineering,F CONSTRUCTION 43 Specialised construction activities 43.5 Specialised construction activities in civil engineering
C,C MANUFACTURING,10,10 Manufacture of food products,105,10.5 Manufacture of dairy products and edible ice,C MANUFACTURING 10 Manufacture of food products 10.5 Manufacture of dairy products and edible ice
C,C MANUFACTURING,23,23 Manufacture of other non-metallic mineral products,231,23.1 Manufacture of glass and glass products,"C MANUFACTURING 23 Manufacture of other non-metallic mineral products 23.1 Manufacture of glass and glass products This group includes glass in all its forms, made by any process, and articles of glass."
B,B MINING AND QUARRYING,06,06 Extraction of crude petroleum and natural gas,062,06.2 Extraction of natural gas,B MINING AND QUARRYING 06 Extraction of crude petroleum and natural gas 06.2 Extraction of natural gas
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",74,"74 Other professional, scientific and technical activities",742,74.2 Photographic activities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 74 Other professional, scientific and technical activities 74.2 Photographic activities"
C,C MANUFACTURING,22,22 Manufacture of rubber and plastic products,222,22.2 Manufacture of plastic products,"C MANUFACTURING 22 Manufacture of rubber and plastic products 22.2 Manufacture of plastic products This group comprises processing new or spent (in other words, recycled) plastic resins into intermediate or final products, using processes such as compression moulding; extrusion moulding; injection moulding; blow moulding; casting. For most of these, the production process is such that a wide variety of products can be made."
B,B MINING AND QUARRYING,05,05 Mining of coal and lignite,051,05.1 Mining of hard coal,B MINING AND QUARRYING 05 Mining of coal and lignite 05.1 Mining of hard coal
C,C MANUFACTURING,27,27 Manufacture of electrical equipment,271,"27.1 Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","C MANUFACTURING 27 Manufacture of electrical equipment 27.1 Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus This group comprises the manufacture of power, distribution and specialty transformers; electric motors, generators and motor generator sets."
C,C MANUFACTURING,27,27 Manufacture of electrical equipment,273,27.3 Manufacture of wiring and wiring devices,C MANUFACTURING 27 Manufacture of electrical equipment 27.3 Manufacture of wiring and wiring devices This group includes the manufacture of current-carrying wiring devices and non-current-carrying wiring devices for wiring electrical circuits regardless of material. This group also includes the insulating of wire and the manufacture of fibre-optic cables.
C,C MANUFACTURING,24,24 Manufacture of basic metals,243,24.3 Manufacture of other products of first processing of steel,C MANUFACTURING 24 Manufacture of basic metals 24.3 Manufacture of other products of first processing of steel This group includes manufacturing other products by cold processing of steel.
R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,87,87 Residential care activities,873,87.3 Residential care activities for older persons or persons with physical disabilities,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES 87 Residential care activities 87.3 Residential care activities for older persons or persons with physical disabilities
H,H TRANSPORTATION AND STORAGE,53,53 Postal and courier activities,532,53.2 Other postal and courier activities,H TRANSPORTATION AND STORAGE 53 Postal and courier activities 53.2 Other postal and courier activities
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,81,81 Services to buildings and landscape activities,813,81.3 Landscape service activities,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 81 Services to buildings and landscape activities 81.3 Landscape service activities
I,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES,56,56 Food and beverage service activities,562,"56.2 Event catering, contract catering service activities and other food service activities","I ACCOMMODATION AND FOOD SERVICE ACTIVITIES 56 Food and beverage service activities 56.2 Event catering, contract catering service activities and other food service activities This group includes catering activities for individual events or for a specified period of time and the operation of food concessions (for example, at sports or similar facilities). The services are provided on a contract basis and offered to a limited clientele."
C,C MANUFACTURING,31,31 Manufacture of furniture,310,31.0 Manufacture of furniture,C MANUFACTURING 31 Manufacture of furniture 31.0 Manufacture of furniture
C,C MANUFACTURING,29,"29 Manufacture of motor vehicles, trailers and semi-trailers",291,29.1 Manufacture of motor vehicles,"C MANUFACTURING 29 Manufacture of motor vehicles, trailers and semi-trailers 29.1 Manufacture of motor vehicles"
F,F CONSTRUCTION,43,43 Specialised construction activities,434,43.4 Specialised construction activities in construction of buildings,F CONSTRUCTION 43 Specialised construction activities 43.4 Specialised construction activities in construction of buildings
R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,87,87 Residential care activities,872,87.2 Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES 87 Residential care activities 87.2 Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse
C,C MANUFACTURING,32,32 Other manufacturing,324,32.4 Manufacture of games and toys,C MANUFACTURING 32 Other manufacturing 32.4 Manufacture of games and toys
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,82,"82 Office administrative, office support and other business support activities",824,82.4 Intermediation service activities for business support service activities n.e.c.,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 82 Office administrative, office support and other business support activities 82.4 Intermediation service activities for business support service activities n.e.c."
C,C MANUFACTURING,23,23 Manufacture of other non-metallic mineral products,232,23.2 Manufacture of refractory products,C MANUFACTURING 23 Manufacture of other non-metallic mineral products 23.2 Manufacture of refractory products
H,H TRANSPORTATION AND STORAGE,50,50 Water transport,503,50.3 Inland passenger water transport,H TRANSPORTATION AND STORAGE 50 Water transport 50.3 Inland passenger water transport
H,H TRANSPORTATION AND STORAGE,50,50 Water transport,504,50.4 Inland freight water transport,H TRANSPORTATION AND STORAGE 50 Water transport 50.4 Inland freight water transport
C,C MANUFACTURING,10,10 Manufacture of food products,103,10.3 Processing and preserving of fruit and vegetables,C MANUFACTURING 10 Manufacture of food products 10.3 Processing and preserving of fruit and vegetables
K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",61,61 Telecommunication,611,"61.1 Wired, wireless, and satellite telecommunication activities","K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 61 Telecommunication 61.1 Wired, wireless, and satellite telecommunication activities"
A,"A AGRICULTURE, FORESTRY AND FISHING",02,02 Forestry and logging,024,02.4 Support services to forestry,"A AGRICULTURE, FORESTRY AND FISHING 02 Forestry and logging 02.4 Support services to forestry"
H,H TRANSPORTATION AND STORAGE,50,50 Water transport,501,50.1 Sea and coastal passenger water transport,"H TRANSPORTATION AND STORAGE 50 Water transport 50.1 Sea and coastal passenger water transport This group also includes:
- transport of passengers on lakes, etc., when similar types of vessels are used as on sea or coastal waters"
H,H TRANSPORTATION AND STORAGE,53,53 Postal and courier activities,531,53.1 Postal activities under universal service obligation,H TRANSPORTATION AND STORAGE 53 Postal and courier activities 53.1 Postal activities under universal service obligation
I,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES,55,55 Accommodation,553,55.3 Camping grounds and recreational vehicle parks,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES 55 Accommodation 55.3 Camping grounds and recreational vehicle parks
C,C MANUFACTURING,10,10 Manufacture of food products,102,"10.2 Processing and preserving of fish, crustaceans and molluscs","C MANUFACTURING 10 Manufacture of food products 10.2 Processing and preserving of fish, crustaceans and molluscs"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,78,78 Employment activities,782,78.2 Temporary employment agency activities and other human resource provisions,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 78 Employment activities 78.2 Temporary employment agency activities and other human resource provisions
C,C MANUFACTURING,25,"25 Manufacture of fabricated metal products, except machinery and equipment",254,25.4 Forging and shaping metal and powder metallurgy,"C MANUFACTURING 25 Manufacture of fabricated metal products, except machinery and equipment 25.4 Forging and shaping metal and powder metallurgy"
C,C MANUFACTURING,27,27 Manufacture of electrical equipment,275,27.5 Manufacture of domestic appliances,"C MANUFACTURING 27 Manufacture of electrical equipment 27.5 Manufacture of domestic appliances This group includes the manufacture of small electric appliances and electric housewares, household-type fans, household-type vacuum cleaners, electric household-type floor care machines, household-type cooking appliances, household-type laundry equipment, household-type refrigerators, upright and chest freezers, and other electrical and non-electrical household appliances (for example, dishwashers, water heaters, garbage disposal units). This group includes the manufacture of appliances with electric, gas or other fuel sources."
C,C MANUFACTURING,27,27 Manufacture of electrical equipment,274,27.4 Manufacture of lighting equipment,C MANUFACTURING 27 Manufacture of electrical equipment 27.4 Manufacture of lighting equipment
C,C MANUFACTURING,30,30 Manufacture of other transport equipment,309,30.9 Manufacture of transport equipment n.e.c.,"C MANUFACTURING 30 Manufacture of other transport equipment 30.9 Manufacture of transport equipment n.e.c. This group includes the manufacture of transport equipment other than motor vehicles and rail, water, air or space transport equipment and military vehicles."
A,"A AGRICULTURE, FORESTRY AND FISHING",02,02 Forestry and logging,021,02.1 Silviculture and other forestry activities,"A AGRICULTURE, FORESTRY AND FISHING 02 Forestry and logging 02.1 Silviculture and other forestry activities"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,77,77 Rental and leasing activities,774,"77.4 Leasing of intellectual property and similar products, except copyrighted works","O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 77 Rental and leasing activities 77.4 Leasing of intellectual property and similar products, except copyrighted works"
C,C MANUFACTURING,10,10 Manufacture of food products,109,10.9 Manufacture of prepared animal feeds,C MANUFACTURING 10 Manufacture of food products 10.9 Manufacture of prepared animal feeds
T,T OTHER SERVICE ACTIVITIES,96,96 Personal service activities,963,96.3 Funeral and related activities,T OTHER SERVICE ACTIVITIES 96 Personal service activities 96.3 Funeral and related activities
C,C MANUFACTURING,23,23 Manufacture of other non-metallic mineral products,236,"23.6 Manufacture of articles of concrete, cement and plaster","C MANUFACTURING 23 Manufacture of other non-metallic mineral products 23.6 Manufacture of articles of concrete, cement and plaster"
C,C MANUFACTURING,29,"29 Manufacture of motor vehicles, trailers and semi-trailers",292,29.2 Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers,"C MANUFACTURING 29 Manufacture of motor vehicles, trailers and semi-trailers 29.2 Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers"
C,C MANUFACTURING,19,19 Manufacture of coke and refined petroleum products,191,19.1 Manufacture of coke oven products,C MANUFACTURING 19 Manufacture of coke and refined petroleum products 19.1 Manufacture of coke oven products
C,C MANUFACTURING,28,28 Manufacture of machinery and equipment n.e.c.,283,28.3 Manufacture of agricultural and forestry machinery,C MANUFACTURING 28 Manufacture of machinery and equipment n.e.c. 28.3 Manufacture of agricultural and forestry machinery
M,M REAL ESTATE ACTIVITIES,68,68 Real estate activities,682,68.2 Rental and operating of own or leased real estate,M REAL ESTATE ACTIVITIES 68 Real estate activities 68.2 Rental and operating of own or leased real estate
A,"A AGRICULTURE, FORESTRY AND FISHING",01,"01 Crop and animal production, hunting and related service activities",017,"01.7 Hunting, trapping and related service activities","A AGRICULTURE, FORESTRY AND FISHING 01 Crop and animal production, hunting and related service activities 01.7 Hunting, trapping and related service activities"
