section_code,section_label_en,division_code,division_label_en,group_code,group_label_en,embedding_description
L,L FINANCIAL AND INSURANCE ACTIVITIES,66,66 Activities auxiliary to financial services and insurance activities,662,66.2 Activities auxiliary to insurance and pension funding,"L FINANCIAL AND INSURANCE ACTIVITIES 66 Activities auxiliary to financial services and insurance activities 66.2 Activities auxiliary to insurance and pension funding This group includes acting as agents (in other words, brokers) in selling annuities and insurance policies or providing other employee benefits and insurance and pension-related services (for example, claims adjustment, third-party administration)."
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",72,72 Scientific research and development,721,72.1 Research and experimental development on natural sciences and engineering,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 72 Scientific research and development 72.1 Research and experimental development on natural sciences and engineering"
C,C MANUFACTURING,20,20 Manufacture of chemicals and chemical products,205,20.5 Manufacture of other chemical products,"C MANUFACTURING 20 Manufacture of chemicals and chemical products 20.5 Manufacture of other chemical products This group includes the manufacture of liquid biofuels and chemical products n.e.c. (for example, explosives and pyrotechnic products, glues, essential oils, composite diagnostic preparations)."
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",69,69 Legal and accounting activities,691,69.1 Legal activities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 69 Legal and accounting activities 69.1 Legal activities"
C,C MANUFACTURING,13,13 Manufacture of textiles,132,13.2 Weaving of textiles,C MANUFACTURING 13 Manufacture of textiles 13.2 Weaving of textiles
F,F CONSTRUCTION,43,43 Specialised construction activities,433,43.3 Building completion and finishing,F CONSTRUCTION 43 Specialised construction activities 43.3 Building completion and finishing
G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,477,"47.7 Retail sale of other goods, except motor vehicles and motorcycles","G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.7 Retail sale of other goods, except motor vehicles and motorcycles This group includes the specialised retail sale of various goods not elsewhere classified (for example, clothing, footwear and leather articles, pharmaceutical and medical goods, watches, souvenirs, cleaning products, toiletries, flowers, pets). This group also includes:
- retail sale of second-hand goods"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,79,"79 Travel agency, tour operator and other reservation service and related activities",799,79.9 Other reservation service and related activities,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 79 Travel agency, tour operator and other reservation service and related activities 79.9 Other reservation service and related activities"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,79,"79 Travel agency, tour operator and other reservation service and related activities",791,79.1 Travel agency and tour operator activities,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 79 Travel agency, tour operator and other reservation service and related activities 79.1 Travel agency and tour operator activities This group includes the activities of agencies, primarily engaged in the sale of pre-packaged or custom-packaged travel packages, comprising transport, accommodation, tour guide and other services to the general public and commercial clients and the activities of arranging and assembling tours that are sold through travel agencies or directly by agents (for example, tour operators). This group also includes the activities of tour operators."
A,"A AGRICULTURE, FORESTRY AND FISHING",01,"01 Crop and animal production, hunting and related service activities",014,01.4 Animal production,"A AGRICULTURE, FORESTRY AND FISHING 01 Crop and animal production, hunting and related service activities 01.4 Animal production This group includes:
- farming (husbandry, raising) and breeding of all animals, except aquatic animals"
C,C MANUFACTURING,19,19 Manufacture of coke and refined petroleum products,192,19.2 Manufacture of refined petroleum products and fossil fuel products,C MANUFACTURING 19 Manufacture of coke and refined petroleum products 19.2 Manufacture of refined petroleum products and fossil fuel products
C,C MANUFACTURING,14,14 Manufacture of wearing apparel,142,14.2 Manufacture of other wearing apparel and accessories,"C MANUFACTURING 14 Manufacture of wearing apparel 14.2 Manufacture of other wearing apparel and accessories This group includes the manufacture of wearing apparel, other than knitted or crocheted. The material used may be of any kind and may be coated, impregnated or rubberised."
C,C MANUFACTURING,25,"25 Manufacture of fabricated metal products, except machinery and equipment",255,25.5 Treatment and coating of metals; machining,"C MANUFACTURING 25 Manufacture of fabricated metal products, except machinery and equipment 25.5 Treatment and coating of metals; machining This group includes general activities for the treatment of metal (for example, plating, coating, engraving, boring, polishing or welding), which are typically carried out on a fee or contract basis."
A,"A AGRICULTURE, FORESTRY AND FISHING",03,03 Fishing and aquaculture,032,03.2 Aquaculture,"A AGRICULTURE, FORESTRY AND FISHING 03 Fishing and aquaculture 03.2 Aquaculture This group includes aquaculture (or aquafarming), in other words, the production process involving the culturing or farming (including harvesting) of aquatic organisms (for example, fish, molluscs, crustaceans, plants, amphibians) using techniques designed to increase the production of the organisms in question beyond the natural capacity of the environment (for example, regular stocking, feeding and protection from predators). Aquaculture also encompasses individual, corporate or state ownership of the individual organisms throughout the rearing or culture stage, up to and including harvesting.

Culturing/farming refers to the rearing up to their juvenile and/or adult phase under captive conditions of the above organisms. This group also includes:
- breeding/farming of fry and adults under artificial conditions"
C,C MANUFACTURING,28,28 Manufacture of machinery and equipment n.e.c.,281,28.1 Manufacture of general-purpose machinery,C MANUFACTURING 28 Manufacture of machinery and equipment n.e.c. 28.1 Manufacture of general-purpose machinery
I,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES,55,55 Accommodation,551,55.1 Hotels and similar accommodation,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES 55 Accommodation 55.1 Hotels and similar accommodation
C,C MANUFACTURING,23,23 Manufacture of other non-metallic mineral products,234,23.4 Manufacture of other porcelain and ceramic products,"C MANUFACTURING 23 Manufacture of other non-metallic mineral products 23.4 Manufacture of other porcelain and ceramic products This group includes the manufacture of final products from mined or quarried non-metallic minerals (for example, sand, gravel, stone or clay)."
C,C MANUFACTURING,26,"26 Manufacture of computer, electronic and optical products",263,26.3 Manufacture of communication equipment,"C MANUFACTURING 26 Manufacture of computer, electronic and optical products 26.3 Manufacture of communication equipment"
Q,Q EDUCATION,85,85 Education,855,85.5 Other education,"Q EDUCATION 85 Education 85.5 Other education This group includes education (including non-formal) which is neither part of initial education in the regular school system, nor equivalent in programme content and qualifications to those programmes. It includes training for any professional, hobby or self-development purposes for both children and adults, including non-formal continuing vocational education and training. Non-formal education is defined by ISCED-P 2011 as institutionalised, intentional and planned by an education provider, as an addition, alternative and/or complement to formal education within the process of an individual’s lifelong learning. It targets people of all ages but does not necessarily apply a continuous pathway/structure; it may be short in duration and/or low-intensity, and it is typically provided in the form of short courses, workshops or seminars.

This group includes the provision of athletic instruction to groups or individuals, foreign language instruction, instruction in the arts, drama or music, as well as other instruction or specialised training provided by camps and schools, not comparable to the education in groups 85.1 to 85.4. This group also includes education activities run by self-employed / own account / individual / independent lecturers (tutors, academics, instructors)."
C,C MANUFACTURING,15,15 Manufacture of leather and related products of other materials,152,15.2 Manufacture of footwear,C MANUFACTURING 15 Manufacture of leather and related products of other materials 15.2 Manufacture of footwear
G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,465,46.5 Wholesale of information and communication equipment,G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.5 Wholesale of information and communication equipment
K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",61,61 Telecommunication,619,61.9 Other telecommunication activities,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 61 Telecommunication 61.9 Other telecommunication activities"
K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",61,61 Telecommunication,612,61.2 Telecommunication reselling activities and intermediation service activities for telecommunication,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 61 Telecommunication 61.2 Telecommunication reselling activities and intermediation service activities for telecommunication"
C,C MANUFACTURING,30,30 Manufacture of other transport equipment,303,30.3 Manufacture of air and spacecraft and related machinery,C MANUFACTURING 30 Manufacture of other transport equipment 30.3 Manufacture of air and spacecraft and related machinery
N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",74,"74 Other professional, scientific and technical activities",749,"74.9 Other professional, scientific and technical activities n.e.c.","N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 74 Other professional, scientific and technical activities 74.9 Other professional, scientific and technical activities n.e.c."
B,B MINING AND QUARRYING,08,08 Other mining and quarrying,081,"08.1 Quarrying of stone, sand and clay","B MINING AND QUARRYING 08 Other mining and quarrying 08.1 Quarrying of stone, sand and clay"
G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,475,47.5 Retail sale of other household equipment,"G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.5 Retail sale of other household equipment This group includes the specialised retail sale of household equipment (for example, textiles, hardware, carpets, electrical appliances, furniture)."
H,H TRANSPORTATION AND STORAGE,49,49 Land transport and transport via pipelines,491,49.1 Passenger rail transport,H TRANSPORTATION AND STORAGE 49 Land transport and transport via pipelines 49.1 Passenger rail transport
H,H TRANSPORTATION AND STORAGE,52,"52 Warehousing, storage and support activities for transportation",521,52.1 Warehousing and storage,"H TRANSPORTATION AND STORAGE 52 Warehousing, storage and support activities for transportation 52.1 Warehousing and storage"
O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,82,"82 Office administrative, office support and other business support activities",821,82.1 Office administrative and support activities,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 82 Office administrative, office support and other business support activities 82.1 Office administrative and support activities"
C,C MANUFACTURING,10,10 Manufacture of food products,108,10.8 Manufacture of other food products,"C MANUFACTURING 10 Manufacture of food products 10.8 Manufacture of other food products This group includes the production of sugar and confectionery, prepared meals and dishes, coffee, tea and spices."
K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",63,"63 Computing infrastructure, data processing, hosting and other information service activities",639,63.9 Web search portal activities and other information service activities,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 63 Computing infrastructure, data processing, hosting and other information service activities 63.9 Web search portal activities and other information service activities This group includes:
- operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format (web search portals) 
- other information service activities not elsewhere classified, e.g.:
 • telephone-based information services
 • information search services on a contract or fee basis
 • news clipping services, press clipping services

The primary source of revenue from advertising does not have a bearing on classification for these activities."
F,F CONSTRUCTION,43,43 Specialised construction activities,439,43.9 Other specialised construction activities,F CONSTRUCTION 43 Specialised construction activities 43.9 Other specialised construction activities
C,C MANUFACTURING,30,30 Manufacture of other transport equipment,301,30.1 Building of ships and boats,"C MANUFACTURING 30 Manufacture of other transport equipment 30.1 Building of ships and boats This group includes the building of ships, boats, yachts and other floating structures for transport and other commercial purposes, as well as for sport/recreational and military purposes."
K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",62,"62 Computer programming, consultancy and related activities",621,62.1 Computer programming activities,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 62 Computer programming, consultancy and related activities 62.1 Computer programming activities"
